Virus,VirusTaxID
bat paramyxovirus eid_hel/zfb11-30/zambia/2011,1400379
bat paramyxovirus eid_hel/zfb11-35/zambia/2011,1400380
bat paramyxovirus eid_hel/zfb11-60/zambia/2011,1400381
bat paramyxovirus eid_hel/zfb11-66/zambia/2011,1400382
bat paramyxovirus eid_hel/zfb11-76/zambia/2011,1400383
bat paramyxovirus eid_hel/zfb11-88/zambia/2011,1400384
bat paramyxovirus eid_hel/zfb11-91/zambia/2011,1400385
bat paramyxovirus eid-hel/rca-p10/rca/2008,1112651
bat paramyxovirus eid.hel/gh45/2008,665603
bat parvovirus,1514704
bat posalivirus,1958781
bat sapelovirus,1958777
bat sapovirus,1959930
chiropteran tetraparvovirus 1,1511912
crohivirus b,2169854
dyoupsilonpapillomavirus 1,1932912
eidolon helvum adenovirus,2039267
eidolon helvum adenovirus 1,1335467
eidolon helvum adenovirus 2,1335468
eidolon helvum adenovirus 3,1335469
eidolon helvum herpesvirus 1,1335470
eidolon helvum herpesvirus 2,1335471
eidolon helvum herpesvirus 3,1335472
eidolon helvum kobuvirus,1335473
eidolon helvum lung retrovirus 1,1335474
eidolon helvum papillomavirus,1940839
eidolon helvum papillomavirus 4,1335478
eidolon helvum papillomavirus 5,1335479
eidolon helvum papillomavirus 6,1335480
eidolon helvum papillomavirus 7,1335481
eidolon helvum paramyxovirus,1133726
eidolon helvum parvovirus 2,1335482
eidolon helvum polyomavirus 1,1891722
eidolon helvum poxvirus 1,1335484
eidolon helvum simplexvirus 1,570423
eidolon helvum throat retrovirus 1,1335475
eidolon paramyxovirus rc09,1132582
eidolon polyomavirus 2,1276188
ghanaian bat henipavirus,1979178
hepatovirus h,1987129
ife virus,2547357
kenya bat coronavirus btky100,903568
kenya bat coronavirus btky101,903569
kenya bat coronavirus btky102,903570
kenya bat coronavirus btky103,903571
kenya bat coronavirus btky104,903572
kenya bat coronavirus btky105,903573
kenya bat coronavirus btky106,903574
kenya bat coronavirus btky107,903575
kenya bat coronavirus btky108,903576
kenya bat coronavirus btky109,903577
kenya bat coronavirus btky110,903578
kenya bat coronavirus btky111,903579
kenya bat coronavirus btky112,903580
kenya bat coronavirus btky18,681864
kenya bat coronavirus btky19,681865
kenya bat coronavirus btky20,681866
kenya bat coronavirus btky23,681869
kenya bat coronavirus btky24,681870
kenya bat coronavirus btky44,903582
kenya bat coronavirus btky45,903583
kenya bat coronavirus btky46,903584
kenya bat coronavirus btky47,903585
kenya bat coronavirus btky48,903586
kenya bat coronavirus btky49,903587
kenya bat coronavirus btky50,903588
kenya bat coronavirus btky51,903589
kenya bat coronavirus btky52,903590
kenya bat coronavirus btky53,903591
kenya bat coronavirus btky60,903598
kenya bat coronavirus btky84,903622
kenya bat coronavirus btky85,903623
kenya bat coronavirus btky86,903624
kenya bat coronavirus btky87,903625
kenya bat coronavirus btky88,903626
kenya bat coronavirus btky89,903627
kenya bat coronavirus btky90,903628
kenya bat coronavirus btky91,903629
kenya bat coronavirus btky92,903630
kenya bat coronavirus btky93,903631
kenya bat coronavirus btky94,903632
kenya bat coronavirus btky95,903633
kenya bat coronavirus btky96,903634
kenya bat coronavirus btky97,903635
kenya bat coronavirus btky98,903636
kenya bat coronavirus btky99,903637
kenya bat coronavirus/btky56/btky55,2042604
kumasi ledantevirus,1978543
kunsagivirus b,2169965
limbe partiti-like virus,2169482
limbe picobirna-like virus,2169478
lysoka partiti-like virus,2169481
lysoka partitivirus,2169483
lysoka picobirna-like virus,2169479
moyuka partiti-like virus,2169480
paramyxovirus bat/gh10/2008,589518
paramyxovirus bat/gh11/2009,714378
paramyxovirus bat/gh12/2009,714379
paramyxovirus bat/gh13a/2009,714374
paramyxovirus bat/gh15/2009,714363
paramyxovirus bat/gh16/2008,589519
paramyxovirus bat/gh17/2009,714380
paramyxovirus bat/gh18/2008,589520
paramyxovirus bat/gh18/2009,714381
paramyxovirus bat/gh19/2009,714382
paramyxovirus bat/gh1a/2009,714371
paramyxovirus bat/gh2//2009,714364
paramyxovirus bat/gh2/2009,714372
paramyxovirus bat/gh20/2009,714383
paramyxovirus bat/gh21a/2009,714367
paramyxovirus bat/gh22/2009,714384
paramyxovirus bat/gh24/2009,714377
paramyxovirus bat/gh24a/2009,714370
paramyxovirus bat/gh25/2009,714385
paramyxovirus bat/gh27a/2009,714368
paramyxovirus bat/gh28/2009,714386
paramyxovirus bat/gh3//2009,714365
paramyxovirus bat/gh3/2009,714376
paramyxovirus bat/gh30/2009,714387
paramyxovirus bat/gh31/2009,714375
paramyxovirus bat/gh33/2008,589521
paramyxovirus bat/gh4/2009,714369
paramyxovirus bat/gh47/2008,589524
paramyxovirus bat/gh48/2008,589525
paramyxovirus bat/gh6//2009,714366
paramyxovirus bat/gh6/2009,714373
paramyxovirus predict_pmv-56,1647256
psipapillomavirus 2,2170170
psipapillomavirus 3,2170171
rotavirus h,1348384
teschovirus sp.,2004715
elaphodus cephalophus bocaparvovirus,2821777
elapid 1 orthobornavirus,1881950
japanese aquabirnavirus genogroup 7,360164
asian elephant endotheliolytic herpesvirus,91179
elephant endotheliotropic herpesvirus 3,548913
elephant endotheliotropic herpesvirus 4,548914
elephant endotheliotropic herpesvirus 5,768738
elephant gammaherpesvirus 2,768741
elephant gammaherpesvirus 3a,768742
elephant gammaherpesvirus 5,768744
elephantid betaherpesvirus 1,146015
elephantid herpesvirus 3,353637
elephantid herpesvirus 4,353638
elephas maximus gammaherpesvirus 1,462297
aquareovirus a,56094
emberiza chrysophrys cress-dna-virus sp.,2815029
emberiza chrysophrys genomoviridae sp.,2814946
emberiza chrysophrys parvoviridae sp.,2794476
emberiza cioides cress-dna-virus sp.,2815030
emberiza cioides genomoviridae sp.,2814947
emberiza elegans cress-dna-virus sp.,2815031
emberiza elegans genomoviridae sp.,2814948
emberiza pusilla chaphamaparvovirus,2794488
emberiza pusilla parvo-like hybrid virus,2794510
emberiza pusilla parvoviridae sp.,2794477
emberiza rustica cress-dna-virus sp.,2815032
emberiza rustica genomoviridae sp.,2814949
emberiza rustica parvoviridae sp.,2794478
emberiza spodocephala cress-dna-virus sp.,2815033
emberiza spodocephala genomoviridae sp.,2814950
emberiza spodocephala parvoviridae sp.,2794481
powassan virus,11083
aveparvovirus sp.,2715213
emberiza tristrami cress-dna-virus sp.,2815034
emberiza tristrami genomoviridae sp.,2814951
emberiza tristrami parvoviridae sp.,2794479
emydoidea blandingii herpesvirus 2,2726021
emydoidea herpesvirus 1,2079459
lambdapapillomavirus 4,1175855
mustelid herpesvirus-2,943082
sea otter adenovirus 1,1882383
sea otter herpesvirus,1906351
sea otter parvovirus 1,1882382
sea otter polyomavirus 1,1552409
sea otterpox virus,2734573
adenoviridae sp.,2558248
bat coronavirus gccdc1,2126098
bat filovirus,1677943
bat gammaretrovirus,1157040
coronavirus predict cov-22,2042549
filoviridae sp.,2740714
flaviviridae sp.,1955163
henipavirus yn12069/chn/2012,1348067
orthoreovirus sp.,2558258
polyomaviridae sp.,2202645
pteropine orthoreovirus,1459003
rotavirus sp.,10970
rousettus bat coronavirus gccdc1,2501962
hantavirus yn06-153,1093942
hantavirus yn06-254,1093943
hantavirus yn06-256,1093944
hantavirus yn06-257,1093945
hantavirus yn06-362,1093948
hantavirus yn06-455,1093950
hantavirus yn06-489,1093951
hantavirus yn06-747,1093954
hantavirus yn06-868,1093957
vole astrovirus ec/fg004/yunnan,1524028
vole astrovirus ec/fg005/yunnan,1524029
vole astrovirus ec/fg006/yunnan,1524030
vole astrovirus ec/fg008/yunnan,1524031
vole astrovirus ec/fg009/yunnan,1524032
vole astrovirus ec/fg011/yunnan,1524033
vole astrovirus ec/fg014/yunnan,1524034
vole astrovirus ec/fg015/yunnan,1524035
vole astrovirus ec/fg018/yunnan,1524036
vole astrovirus ec/fg019/yunnan,1524037
vole astrovirus ec/fg020/yunnan,1524038
vole astrovirus ec/fg025/yunnan,1524039
vole astrovirus ec/fg032/yunnan,1524040
vole astrovirus ec/fg033/yunnan,1524041
vole astrovirus ec/fg034/yunnan,1524042
vole astrovirus ec/fg064/yunnan,1524043
vole astrovirus ec/fg065/yunnan,1524044
vole astrovirus ec/fg068/yunnan,1524045
vole astrovirus ec/fg069/yunnan,1524046
vole astrovirus ec/fg070/yunnan,1524047
vole astrovirus ec/fg075/yunnan,1524048
vole astrovirus ec/fg083/yunnan,1524049
vole astrovirus ec/fg084/yunnan,1524050
vole astrovirus ec/fg089/yunnan,1524051
vole astrovirus ec/fg091-1/yunnan,1524052
vole astrovirus ec/fg091-2/yunnan,1524053
vole astrovirus ec/fg094/yunnan,1524054
vole astrovirus ec/fg096/yunnan,1524055
vole astrovirus ec/fg099/yunnan,1524056
vole astrovirus ec/fg100/yunnan,1524057
vole astrovirus ec/fg136/yunnan,1524058
vole astrovirus ec/fg139/yunnan,1524059
vole astrovirus ec/fg141/yunnan,1524060
vole astrovirus ec/fg142/yunnan,1524061
vole astrovirus ec/fg143/yunnan,1524062
vole astrovirus ec/fg146/yunnan,1524063
vole astrovirus ec/fg148/yunnan,1524064
fugong orthohantavirus,1980469
hantavirus yn06-365,1093949
hantavirus yn06-696,1093953
hantavirus yn06-813,1093956
hantavirus yn06-862,1031707
hantavirus yn06-79,1093955
coronavirus jc54,1964809
eothenomys miletus hantavirus lx17,1001974
eothenomys miletus hantavirus lx43,1001975
hantavirus lx378,858297
luxi orthohantavirus,1980479
australian bat lyssavirus,90961
epinephelus aeneus encephalitis virus,241434
epinephelus areolatus ranavirus,1390980
epinephelus awoara ranavirus,1390978
singapore grouper iridovirus,262968
yellow grouper nervous necrosis virus,161600
betanodavirus gnnv-hn11,1223279
estuary cod nervous necrosis virus,464940
megalocytivirus osgiv-hn11,1223278
epinephelus costae betanodavirus,1110515
epinephelus fuscoguttatus iridovirus,670565
tiger grouper nervous necrosis virus,1056517
hulong grouper nervous necrosis virus,2719990
hybrid grouper megalocytivirus,1437070
giant grouper megalocytivirus,1437069
grouper betanodavirus,1785076
epinephelus marginatus betanodavirus,1110516
epinephelus quoyanus iridovirus,670566
shrew astrovirus el/fg102/yunnan,1524026
shrew astrovirus el/fg159/yunnan,1524027
bat paramyxovirus epo_gam/cd078/drc/2009,1112630
bat paramyxovirus epo_gam/cd255/drc/2009,1112622
bat paramyxovirus epo_gam/cd273/drc/2009,1112624
kenya bat coronavirus btky54,903592
kenya bat coronavirus btky55,903593
kenya bat coronavirus btky56,903594
adenovirus predict_adv-28,2710962
adenovirus predict_adv-29,2710963
bat flavivirus rc e. franqueti p 19,1225490
bat flavivirus rc e. franqueti p 21,1225491
coronavirus predict cov-30,2042556
hagfish agnathovirus,2560517
wenling hagfish alphavirus,2116463
wenling hagfish influenza virus,2116481
bat betaherpesvirus,2767957
bat gammaherpesvirus,2767956
betaherpesvirinae sp.,2681586
alphacoronavirus eptesicus fuscus,1235419
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-239577/it/usa/2009,931900
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-265225/it/usa/2009,931914
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-287740/it/usa/2009,931896
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-293985/it/usa/2009,931908
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-5088/it/usa/2009,931909
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-66604/it/usa/2009,931910
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-c1148/it/usa/2009,931892
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-c146/it/usa/2009,931916
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-c149/it/usa/2009,931915
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-c264/it/usa/2009,931912
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-c265/it/usa/2009,931911
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-c328/it/usa/2009,931907
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-c348/it/usa/2009,931905
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-c362/it/usa/2009,931904
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-c368/it/usa/2009,931903
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-c412/it/usa/2009,931902
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-c414//it/usa/2009,931901
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-c454/it/usa/2009,931899
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-c676/it/usa/2009,931898
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-c837/it/usa/2009,931893
alphacoronavirus eptesicus fuscus/appalachian ridge/p1-replicase/it/usa/2009,931897
alphacoronavirus eptesicus fuscus/appalachian ridge/p2-21252/it/usa/2009,931913
alphacoronavirus eptesicus fuscus/appalachian ridge/p2-c344/it/usa/2009,931906
alphacoronavirus eptesicus fuscus/appalachian ridge/p3-c450/it/usa/2009,931895
alphacoronavirus eptesicus fuscus/appalachian ridge/p3-c766/it/usa/2009,931894
american bat vesiculovirus,1972564
cytomegalovirus eptesicus fuscus/it/usa/2009,931926
eptesicus fuscus bocavirus,2794225
eptesicus fuscus deltaretrovirus,2772270
eptesicus fuscus gammaherpesvirus,2035399
eptesicus fuscus rhabdovirus,2793798
eptesipox virus,1329402
picorna-like virus eptesicus fuscus/p1/inv1/it/usa/2009,931922
picorna-like virus eptesicus fuscus/p2/inv1/it/usa/2009,931921
picorna-like virus eptesicus fuscus/p2/inv2/it/usa/2009,931920
picorna-like virus eptesicus fuscus/p2/inv3/it/usa/2009,931919
picorna-like virus eptesicus fuscus/p4/inv1/it/usa/2009,931918
picorna-like virus eptesicus fuscus/p5/inlv/it/usa/2009,931917
rm-bat-cov 453/2007/ef,1034321
rocky mountain bat coronavirus 61/2007/ef,1004948
sodak rhabdovirus 1,2793799
betacoronavirus e.isa/m/spain/2007,1076428
eptesicus isabellinus betaherpesvirus 1,1325383
eptesicus isabellinus betaherpesvirus 2,1325384
eptesicus isabellinus gammaherpesvirus 1,1835087
eptesicus isabellinus papillomavirus,1495312
eptesicus isabellinus rhabdovirus 1,1272561
eptesicus isabellinus rhabdovirus 2,1272562
eptesicus isabellinus rhabdovirus 3,1272563
eptesicus isabellinus rhabdovirus 4,1272564
eptesicus isabellinus rhabdovirus 5,1272565
european bat 1 lyssavirus,57482
european bat lyssavirus,38768
issyk-kul orthonairovirus,2845022
northern bat adenovirus 1,1530283
rhabdovirus 26873,1508215
rhabdovirus 26876,1508216
zwiesel bat banyangvirus,2706560
vespadelus regulus adenovirus,2690228
vespadelus regulus alphacoronavirus,2687254
vespadelus regulus paramyxovirus,2687261
bat calicivirus btcalv/bs58/hun/2013,1511636
bat circovirus,1329650
bat nodavirus,1340804
betacoronavirus eptesicus/13rs384_26/italy/2012,1458241
dyoomegapapillomavirus 1,1918731
dyopsipapillomavirus 1,1920498
eptesicus serotinus betaherpesvirus 1,1325385
eptesicus serotinus papillomavirus,1495311
orthohepevirus d,1678146
rhabdovirus 27676,1508218
serotine bat adenovirus 1,1530300
serotine bat adenovirus 2,1530301
vespertilionid adenovirus 4,1530309
alphaarterivirus equid,2499620
asinine herpesvirus 5,212435
dyochipapillomavirus 1,1918729
equid alphaherpesvirus 8,39637
equid alphaherpesvirus 9,55744
equid gammaherpesvirus 2,12657
equid gammaherpesvirus 5,10371
equid gammaherpesvirus 7,291612
equid herpesvirus 6,173566
equine hepacivirus,1281455
equine hepatitis b virus,2760904
equus asinus papillomavirus 2,2547428
molluscum contagiosum virus,10279
wild ass herpesvirus,93388
african horse sickness virus,40050
cache valley orthobunyavirus,2560364
dyoiotapapillomavirus 1,1233177
dyoiotapapillomavirus 2,2083182
eqcopivirus eqcopv_11,2653865
eqcopivirus eqcopv_8,2653508
eqcopivirus eqcopv_9,2653864
equid alphaherpesvirus 3,80341
equid alphaherpesvirus 4,10331
equine encephalosis virus,201490
equine foamy virus,109270
equine herpesvirus sp.,48410
equine mastadenovirus a,129954
equine mastadenovirus b,129955
equine molluscum contagiosum-like virus,2676272
equine papillomavirus,2025828
equine parapoxvirus,1686431
equine parvovirus h,2079554
equine rotavirus,10937
equine torovirus,329862
equus caballus papillomavirus 9,2601244
equus caballus papillomavirus iv,1176735
equus caballus papillomavirus munday/sim,2780172
equus caballus polyomavirus 1,1891761
erbovirus a,312185
fort sherman orthobunyavirus,2560477
hendra henipavirus,63330
hepacivirus c,11103
horse associated cyclovirus 1,1987743
horse parvovirus csf,1673640
kirkovirus equ1,1673637
kirkovirus sp.,2572459
madariaga virus,1440170
murray valley encephalitis virus,11079
ness ziona virus,2544873
pegivirus d,1985357
pegivirus e,1985358
peruvian horse sickness virus,356862
picobirnavirus equ1,1673643
picobirnavirus equ2,1673645
picobirnavirus equ3,1673646
picobirnavirus equ4,1673642
picobirnavirus horse/bra-01/2006,933486
picobirnavirus horse/bra-02/2009,933487
salem salemvirus,2560718
torque teno equid virus 1,2846479
torque teno equus virus 2,2834153
treiskappapapillomavirus 1,2170236
ungulate copiparvovirus 6,2734317
zetapapillomavirus 1,333919
dyorhopapillomavirus 1,1513253
equine picobirnavirus,2723956
gemycircularvirus chicas1,2844427
gemycircularvirus equas1,2844441
hepacivirus horse/dh1/hun/2013,1383923
hepacivirus smkl-2012,1263412
lama associated gemycircularvirus 1,1985385
picobirnavirus horse/bg-eq-3/india/2010,914027
erethizon dorsatum papillomavirus 2,2268125
sigmapapillomavirus 1,1176147
erinaceus amurensis coronavirus,2778965
erinaceus hedgehog coronavirus cw_6c,2772455
erinaceus hedgehog coronavirus hku31,2664184
hedgehog coronavirus,2823279
belerina virus,2748342
betacoronavirus erinaceus,2720538
dyoetapapillomavirus 1,1177767
hedgehog arterivirus,2810711
hedgehog coronavirus 1,1965093
hedgehog hepatovirus,1745249
hedgehog herpesvirus,2315400
cadicivirus b,2560366
avipoxvirus isolate sevilla,1511774
erythrocebus patas adenovirus,1916695
erythrocebus patas lymphocryptovirus 1,230177
esocid herpesvirus 1,1862331
rhabdovirus 024698,1094299
rhabdovirus dk5533,1094307
fathead minnow nidovirus 1,1965074
passeriform 2 orthobornavirus,1548721
etheostoma fonticola aquareovirus,1862978
tilapia tilapinevirus,2034996
leiognathus splendens nervous necrosis virus,670535
equine herpesvirus gazella/6755/nld/2009,862244
tinamou hepatitis b virus,2018685
crowned lemur adenovirus,2301502
black lemur adenovirus 1,2301493
black lemur adenovirus 2,2301494
black lemur adenovirus 3,2301495
lemur adenovirus,2301506
red-fronted lemur adenovirus 1,2301511
red-fronted lemur adenovirus 2.1,2301512
red-fronted lemur adenovirus 2.2,2301513
steller sea lion astrovirus 1,645429
steller sea lion poxvirus,252468
bat coronavirus eum.gla/242/bra/2013,1897073
batama orthobunyavirus,1933177
bimbo virus,864694
kolongo virus,380436
guangdong mandarin rat snake torovirus,2116382
nasoule virus,864695
pygmy goby arenavirus fl15,2813193
pygmy goby hantavirus fl16,2813194
pygmy goby paramyoxyvirus fl17,2813195
betanodavirus 1309w-f6,1710885
falcon aviadenovirus a,692069
fowl aviadenovirus d,190064
avipoxvirus okr-2014,1465725
harkavirus a,2003391
kestrel picornavirus,1964371
falcon picornavirus,1964370
falsistrellus mackenziei alphacoronavirus,2687256
betapapillomavirus 2,333924
carnivore bocaparvovirus 3,1511868
carnivore bocaparvovirus 4,2169767
carnivore bocaparvovirus 5,2169768
carnivore bocaparvovirus 6,2169769
cat associated lyon-iarc polyomavirus,2583501
chicken anemia virus,12618
domestic cat hepatitis b virus,2734561
dyothetapapillomavirus 1,1235662
felid alphaherpesvirus 1,10334
felid gammaherpesvirus 1,2560468
feline alphacoronavirus 1,2421386
feline associated cyclovirus 1,1987742
feline astrovirus 2,1389204
feline astrovirus 3,2792599
feline astrovirus 4,2792600
feline avastrovirus,1792584
feline chaphamaparvovirus,2736647
feline foamy virus,53182
feline hunnivirus,2478655
feline leukemia virus,11768
feline mamastrovirus,1792585
feline morbillivirus type 2,2518293
feline papillomavirus fap3,565053
feline papillomavirus type 3,1679502
feline paramyxovirus,2739235
feline paramyxovirus 163,2486281
feline paramyxovirus msi-2014,1579498
feline pegivirus jp03-2471,2817955
feline pegivirus jp03-3208,2817956
feline picobirnavirus,1417758
feline picornavirus,1108810
feline rotavirus,10921
feline rotavirus viseu,1417760
feline stool-associated circular virus,2834154
feline stool-associated circular virus ku14,2249941
feline stool-associated circular virus ku7,2267517
feline stool-associated circular virus ku8,2267518
feline stool-associated circular virus ku9,2267516
felis catus adenovirus,2067749
felis catus papillomavirus,1928473
felis catus papillomavirus 6,2704502
felis catus papillomavirus type 5,2025339
fesavirus 1,1530450
fesavirus 2,1530451
fesavirus 3,1530452
fesavirus 4,1530453
gyrovirus 3,2583049
gyrovirus 6,2583050
gyrovirus galga1,2844800
huaiyangshan banyangvirus,2509281
mamastrovirus 2,1239566
orthopoxvirus sp.,2035302
papillomaviridae fdpv-my02,795360
papillomavirus cat/eaa/usa/2001,682125
protoparvovirus sp.,1987106
sakobuvirus a,1659771
taupapillomavirus 3,1961786
torque teno felid virus 1,2846480
torque teno felid virus 2,2846481
torque teno felid virus 4,2846483
torque teno felid virus 5,2846484
torque teno felid virus 6,2846485
torque teno felis virus,687384
ficedula mugimaki cress-dna-virus sp.,2815035
ficedula mugimaki parvoviridae sp.,2794480
ficedula parva circoviridae sp.,2814999
ficedula parva cress-dna-virus sp.,2815036
ficedula parva genomoviridae sp.,2814952
ficedula parva parvoviridae sp.,2794506
cacipacore virus,64305
siadenovirus idl19-3602,2608978
puffin papillomavirus 1,2562557
fregata magnificens herpesvirus,576892
avipoxvirus id8964,1047201
avipoxvirus isolate id8964,656814
fringilla montifringilla chaphamaparvovirus,2794489
fringilla montifringilla circoviridae sp.,2815000
fringilla montifringilla cress-dna-virus sp.,2815044
fringilla montifringilla genomoviridae sp.,2814960
fringilla montifringilla parvoviridae sp.,2794507
khurdun virus,1471047
gyrovirus fulgla1,2844799
treiszetapapillomavirus 1,1922208
mummichog aquabirnavirus,230108
chamaeleonid herpesvirus 1,2801034
barfin flounder nervous necrosis virus,43761
pacific cod betanodavirus,1545858
atlantic cod betanodavirus,1892857
atlantic cod betanodavirus v0037,412059
atlantic cod herpesvirus,1128120
atlantic cod nodavirus,450278
cod iridovirus/15/04.11.92/dnk,796593
bushbaby hepacivirus,2777464
galeus sauteri nervous necrosis virus,670532
galidia erv,1400255
avian metaavulavirus 11,2560310
common moorhen coronavirus hku21,1159902
anativirus sp.,2809150
astrovirus hk-2014,1566335
avian dependoparvovirus 1,1511894
avian endogenous retrovirus eav-hp,93465
avian endogenous virus,11945
avian myeloblastosis-associated virus,11960
avian nephritis virus,1354735
avian nephritis virus 3,640327
avian picobirnavirus gi,1382266
avian retrovirus,11955
avipoxvirus chicken/pt-30327/portugal/2013,1608258
avisivirus ave052/asv,2080834
avisivirus b,1985982
avisivirus c,1985983
avisivirus pf-chk1/asv,1766559
avisivirus sp.,2809172
avulavirus sp.,2493083
bavaria virus,2560343
bavovirus sp.,2809180
birnavirus sp.,41996
calicivirus chicken/v0013/bayern/2004,1001627
calicivirus chicken/v0021/bayern/2004,889389
calicivirus chicken/v0027/bayern/2004,1001628
chicken associated cyclovirus 1,2050596
chicken associated cyclovirus 2,2109365
chicken associated huchismacovirus 1,2169932
chicken associated huchismacovirus 2,2169933
chicken associated smacovirus,1932006
chicken astrovirus 2,544801
chicken chapparvovirus 1,2109366
chicken circovirus 2,2735304
chicken circovirus 3,2735305
chicken circovirus 4,2682574
chicken circovirus 5,2681776
chicken circovirus sdwf,2518641
chicken cyclovirus mg4_1122,2720954
chicken cyclovirus mg5_2967,2720955
chicken cyclovirus mg7_102,2720956
chicken enteric coronavirus,229103
chicken gallivirus 1,1534550
chicken genomovirus mg2_274u,2720937
chicken genomovirus mg2_75,2720938
chicken genomovirus mg2_77,2720939
chicken genomovirus mg4_1107,2720940
chicken genomovirus mg4_1165,2720941
chicken genomovirus mg4_1173,2720942
chicken genomovirus mg4_1196,2720943
chicken genomovirus mg4_1210,2720944
chicken genomovirus mg4_1218,2720945
chicken genomovirus mg4_1247,2720946
chicken genomovirus mg4_1259,2720947
chicken genomovirus mg7_70,2720948
chicken genomovirus mg7_73,2720949
chicken genomovirus mg7_74,2720950
chicken genomovirus mg7_78,2720951
chicken genomovirus mg8_401,2720952
chicken genomovirus mg8_416,2720953
chicken megrivirus,1477515
chicken orivirus 1,1565990
chicken parvovirus 109/hrv/2009,1081804
chicken parvovirus 347/hun/2008,762506
chicken parvovirus 348/hun/2008,762507
chicken parvovirus 399/hrv/2010,1081806
chicken parvovirus 404/hrv/2010,1081805
chicken parvovirus 458/hrv/2010,1081802
chicken parvovirus 478/hrv/2010,1081807
chicken parvovirus 528/hun/2009,762508
chicken parvovirus 5b8/2009,703584
chicken parvovirus 92/hrv/2009,1081803
chicken parvovirus a1/hun/2009,762509
chicken parvovirus abu/hun/2009,762510
chicken parvovirus b1/hun/2009,762511
chicken parvovirus ch_114_10,1090532
chicken parvovirus ch1514/2007/hun,881301
chicken parvovirus ch1515/2007/hun,881302
chicken parvovirus ch189/2009/hun,881303
chicken parvovirus ch538/2009/hun,881304
chicken parvovirus ch5596_10/2010/hun,881305
chicken parvovirus ch5596_13/2010/hun,881306
chicken parvovirus ch5596_18/2010/hun,881307
chicken parvovirus ch5596_7/2010/hun,881308
chicken parvovirus ch841_3/2009/hun,881309
chicken parvovirus ch852/2009/hun,881310
chicken parvovirus cro/glog/2010,1048871
chicken picobirnavirus,1930304
chicken picornavirus,1819751
chicken picornavirus 1,1534544
chicken picornavirus 4,1534547
chicken picornavirus 5,1534548
chicken picornavirus hk-2014,1566337
chicken picornavirus ucc13,1839669
chicken proventricular necrosis virus,908207
chicken proventriculitis virus,1566005
chicken smacovirus mg2_55,2720957
chicken smacovirus mg5_1444,2720963
chicken smacovirus mg6_1052,2720964
chicken smacovirus mg7_57,2720965
chicken smacovirus mg8_345,2720967
chicken stool associated circular virus 1,2109373
chicken stool associated circular virus 2,2109374
chicken stool-associated circular virus,1930302
chicken stool-associated gemycircularvirus,1930298
chicken virus mg4_1578,2720900
chicken virus mg4_2302,2720901
chicken virus mg4_280,2720902
chicken virus mg4_657,2720903
chicken virus mg5_1345,2720904
chicken virus mg5_2197,2720905
chicken virus mg5_2676,2720906
chicken virus mg5_2876,2720907
chicken virus mg6_1197,2720908
chicken virus mg6_2056,2720909
chicken virus mg7_41u,2720910
chicken virus mg7_59,2720911
chicken virus mg8_273,2720912
chicken virus mg8_324,2720913
circovirus ng_chicken17,742980
circovirus ng_chicken20,742984
circovirus ng_chicken21,742985
circovirus ng_chicken25,742989
circovirus ng_chicken33,742994
circovirus ng_chicken38,742997
circovirus ng_chicken39,742998
circovirus ng_chicken5,742999
coronavirus hku15,1965089
cyclovirus ng_chicken11,742974
cyclovirus ng_chicken12,742975
cyclovirus ng_chicken13,742976
cyclovirus ng_chicken14,742977
cyclovirus ng_chicken15,742978
cyclovirus ng_chicken16,742979
cyclovirus ng_chicken18,742981
cyclovirus ng_chicken19,742982
cyclovirus ng_chicken2,742983
cyclovirus ng_chicken22,742986
cyclovirus ng_chicken23,742987
cyclovirus ng_chicken24,742988
cyclovirus ng_chicken26,742990
cyclovirus ng_chicken3,742991
cyclovirus ng_chicken31,742992
cyclovirus ng_chicken32,742993
cyclovirus ng_chicken36,742995
cyclovirus ng_chicken37,742996
cyclovirus ng_chicken6,743000
cyclovirus ng_chicken7,743001
cyclovirus ng_chicken8,743002
cyclovirus ng_chicken9,743003
flavivirus cjd05/chn/2010,1086585
flavivirus strain cjd05,1095754
fowl adenovirus,1354736
fowl adenovirus 12,172858
fowl adenovirus hr1,911325
fowl adenovirus hr2,911324
fowl adenovirus hr3,911323
fowl adenovirus hr4,911322
fowl aviadenovirus a,190061
